,co_code,tradedate,dayopen,dayhigh,daylow,last_price,volume
0,815,10/17/2006 12:00:00 AM,717,726,711,714.8,270717
1,815,10/18/2006 12:00:00 AM,715,737.9,710.2,733.7,454313
2,815,10/19/2006 12:00:00 AM,741.9,746.8,718.1,730.85,697622
3,815,10/20/2006 12:00:00 AM,724,738.7,720.05,726.05,214133
4,815,10/21/2006 12:00:00 AM,733,733,719.05,721.3,47851
5,815,10/23/2006 12:00:00 AM,726,726,708.8,712.8,247607
6,815,10/26/2006 12:00:00 AM,715,720,707.3,712.25,634001
7,815,10/27/2006 12:00:00 AM,723,733.7,716,730.6,500787
8,815,10/30/2006 12:00:00 AM,750,778,746,751.5,1266553
9,815,10/31/2006 12:00:00 AM,751,759.9,737.2,749.75,584570
10,815,11/1/2006 12:00:00 AM,750,758.7,747,750.85,263499
11,815,11/2/2006 12:00:00 AM,750,770,735,760.75,528972
12,815,11/3/2006 12:00:00 AM,765,783,760,780.3,755494
13,815,11/6/2006 12:00:00 AM,782.9,787.9,775,777.3,316251
14,815,11/7/2006 12:00:00 AM,781,800,775.55,793.1,772429
15,815,11/8/2006 12:00:00 AM,795,795,770.1,778.1,664986
16,815,11/9/2006 12:00:00 AM,779,782,771.8,773.35,426038
17,815,11/10/2006 12:00:00 AM,774,794.85,771,788.55,632779
18,815,11/13/2006 12:00:00 AM,791,800.1,783.25,796.6,361413
19,815,11/14/2006 12:00:00 AM,804,807,789,790.8,660643
20,815,11/15/2006 12:00:00 AM,790,796.9,775.1,779.9,289516
21,815,11/16/2006 12:00:00 AM,780.05,785.65,766,773.8,281114
22,815,11/17/2006 12:00:00 AM,765,765,725.4,735.6,2202866
23,815,11/20/2006 12:00:00 AM,732,735.6,711.15,723.35,921987
24,815,11/21/2006 12:00:00 AM,739.4,741.9,723,730.55,632692
25,815,11/22/2006 12:00:00 AM,731,738.95,727,737.25,685661
26,815,11/23/2006 12:00:00 AM,737,738.95,735,737.6,402792
27,815,11/24/2006 12:00:00 AM,730,759.95,730,755.15,772442
28,815,11/27/2006 12:00:00 AM,755,755,734,737.9,400704
29,815,11/28/2006 12:00:00 AM,730,730,719,723.6,770930
30,815,11/29/2006 12:00:00 AM,715.6,750,715.6,734.95,472956
31,815,11/30/2006 12:00:00 AM,744.9,759.5,739.25,750.75,1084091
32,815,12/1/2006 12:00:00 AM,753,775,751,770.8,819353
33,815,12/4/2006 12:00:00 AM,770,779.8,761,771.55,836618
34,815,12/5/2006 12:00:00 AM,773.55,778,762.5,767.6,362336
35,815,12/6/2006 12:00:00 AM,767,767,723.45,756.05,535475
36,815,12/7/2006 12:00:00 AM,756,769.25,750,756.8,708157
37,815,12/8/2006 12:00:00 AM,769,783,753.1,774.45,1185767
38,815,12/11/2006 12:00:00 AM,776,776,741,763.95,965790
39,815,12/12/2006 12:00:00 AM,762,776,739,753.25,967362
40,815,12/13/2006 12:00:00 AM,779.9,795,740.1,785.1,933618
41,815,12/14/2006 12:00:00 AM,789,811,775.85,805.65,1320449
42,815,12/15/2006 12:00:00 AM,808,819.45,802,806.75,872935
43,815,12/18/2006 12:00:00 AM,810,810,782.25,804.3,472055
44,815,12/19/2006 12:00:00 AM,804,813.9,793.5,801.6,589252
45,815,12/20/2006 12:00:00 AM,800,807.5,777,799.3,645280
46,815,12/21/2006 12:00:00 AM,799,810.8,788.25,798.4,447446
47,815,12/22/2006 12:00:00 AM,800.55,809.5,796.55,803.9,596861
48,815,12/26/2006 12:00:00 AM,803,806.5,798.25,802.3,512680
49,815,12/27/2006 12:00:00 AM,889,889,803.2,808.05,911564
50,815,12/28/2006 12:00:00 AM,824,824,795.05,800.3,1267875
51,815,12/29/2006 12:00:00 AM,803,814,781.15,811.2,539295
52,815,1/2/2007 12:00:00 AM,813.9,813.9,805,807.4,149614
53,815,1/3/2007 12:00:00 AM,805.3,817.9,798,809.05,666728
54,815,1/4/2007 12:00:00 AM,812.1,834.9,811.1,828.1,1134811
55,815,1/5/2007 12:00:00 AM,830,830,801.4,810.4,617391
56,815,1/8/2007 12:00:00 AM,812,818.9,800.1,812.2,472816
57,815,1/9/2007 12:00:00 AM,812,813.5,795.05,798.15,363017
58,815,1/10/2007 12:00:00 AM,798,798,772,774.95,314396
59,815,1/11/2007 12:00:00 AM,794,795.9,770.25,791.9,294762
60,815,1/12/2007 12:00:00 AM,792,814.8,792,809.45,480730
61,815,1/15/2007 12:00:00 AM,812.9,812.9,802,803.9,296215
62,815,1/16/2007 12:00:00 AM,811.8,811.8,803.2,808.8,149810
63,815,1/17/2007 12:00:00 AM,816,819.9,806.3,815.35,253284
64,815,1/18/2007 12:00:00 AM,819,824.8,808.5,815.8,214586
65,815,1/19/2007 12:00:00 AM,817,824.9,807.1,811.5,401853
66,815,1/22/2007 12:00:00 AM,815.5,827,803,810.05,998294
67,815,1/23/2007 12:00:00 AM,830,830,767,771.25,1423610
68,815,1/24/2007 12:00:00 AM,773,779.45,758.25,762.9,781712
69,815,1/25/2007 12:00:00 AM,766,775,760.15,763.7,770843
70,815,1/29/2007 12:00:00 AM,768,775,749.5,751.8,529268
71,815,1/31/2007 12:00:00 AM,759.95,759.95,734.15,743.05,548920
72,815,2/1/2007 12:00:00 AM,745,752,740,743.8,379188
73,815,2/2/2007 12:00:00 AM,750,755,744,745.65,317283
74,815,2/5/2007 12:00:00 AM,754.7,754.8,746,750.3,263263
75,815,2/6/2007 12:00:00 AM,750.5,757.75,747,750.3,248367
76,815,2/7/2007 12:00:00 AM,751,753,742.8,745.95,354910
77,815,2/8/2007 12:00:00 AM,746.6,750.05,738.5,741.55,381662
78,815,2/9/2007 12:00:00 AM,744.8,744.8,729,731.65,358118
79,815,2/12/2007 12:00:00 AM,748,748,712.05,725.2,567145
80,815,2/13/2007 12:00:00 AM,725,748,720,726.25,450740
81,815,2/14/2007 12:00:00 AM,706.25,733.5,706.25,719.9,380843
82,815,2/15/2007 12:00:00 AM,724.75,743.6,722.5,738.4,472809
83,815,2/19/2007 12:00:00 AM,742,748,728,730.85,271306
84,815,2/20/2007 12:00:00 AM,731,735,723.1,729.2,383017
85,815,2/21/2007 12:00:00 AM,730,743.75,724.6,729.5,625104
86,815,2/22/2007 12:00:00 AM,730,734.9,686.1,706.35,1197410
87,815,2/23/2007 12:00:00 AM,713.65,717,662.6,681.55,850697
88,815,2/26/2007 12:00:00 AM,706,706,675.1,689.3,963601
89,815,2/27/2007 12:00:00 AM,690,699,682.45,693.25,579538
90,815,2/28/2007 12:00:00 AM,681,690,606,676.9,1401616
91,815,3/1/2007 12:00:00 AM,670,680,648.2,661.75,805777
92,815,3/2/2007 12:00:00 AM,655,671.9,648.55,660.1,976759
93,815,3/5/2007 12:00:00 AM,601,662.5,601,617.5,542525
94,815,3/6/2007 12:00:00 AM,630,642.5,617.1,622.55,1572197
95,815,3/7/2007 12:00:00 AM,635,641.9,625,635.25,1362472
96,815,3/8/2007 12:00:00 AM,641,679.5,638.5,668.55,940046
97,815,3/9/2007 12:00:00 AM,679.9,682,656,660,786176
98,815,3/12/2007 12:00:00 AM,678,678,655.2,658.4,493330
99,815,3/13/2007 12:00:00 AM,660,667.95,651.2,661,576325
100,815,3/14/2007 12:00:00 AM,645,656,627,648.45,535760
101,815,3/15/2007 12:00:00 AM,655,680,655,672.45,1289991
102,815,3/16/2007 12:00:00 AM,681,690,673,683.6,608406
103,815,3/19/2007 12:00:00 AM,689,692.85,670.4,677.25,297246
104,815,3/20/2007 12:00:00 AM,683,687,678.1,682.4,175874
105,815,3/21/2007 12:00:00 AM,682.4,682.4,661.95,679.2,185754
106,815,3/22/2007 12:00:00 AM,690,693.6,679.15,682,283838
107,815,3/23/2007 12:00:00 AM,690,693,682,686.3,171779
108,815,3/26/2007 12:00:00 AM,689,691.9,675,682.15,207356
109,815,3/28/2007 12:00:00 AM,654.9,708.4,654.9,692.15,1186972
110,815,3/29/2007 12:00:00 AM,692,715.35,689,706.5,727186
111,815,3/30/2007 12:00:00 AM,714.5,734.4,710,728.25,666788
112,815,4/2/2007 12:00:00 AM,720,727,695,710.8,570973
113,815,4/3/2007 12:00:00 AM,702,722.95,702,719.8,273365
114,815,4/4/2007 12:00:00 AM,728.6,750,725.55,747.35,530728
115,815,4/5/2007 12:00:00 AM,750,752,726.2,729.8,401364
116,815,4/9/2007 12:00:00 AM,731,736,725.5,729.05,456461
117,815,4/10/2007 12:00:00 AM,729,731.9,715.6,720.5,504971
118,815,4/11/2007 12:00:00 AM,716.05,721,696,699.55,791194
119,815,4/12/2007 12:00:00 AM,699.55,709.3,685,705.5,1296527
120,815,4/13/2007 12:00:00 AM,709,720.9,706.35,712.45,400405
121,815,4/16/2007 12:00:00 AM,715,724,711.15,713.8,496795
122,815,4/17/2007 12:00:00 AM,718,720,705,716.65,720814
123,815,4/18/2007 12:00:00 AM,720,720.9,705,713.75,253839
124,815,4/19/2007 12:00:00 AM,707,712.9,704,709.7,332644
125,815,4/20/2007 12:00:00 AM,715,721,710.05,715.25,357533
126,815,4/23/2007 12:00:00 AM,722.9,724,705,717.5,223339
127,815,4/24/2007 12:00:00 AM,718,721,706.1,713.5,490387
128,815,4/25/2007 12:00:00 AM,715.5,720.1,705,709.75,1022511
129,815,4/26/2007 12:00:00 AM,719.9,732.2,709.5,716.65,998271
130,815,4/27/2007 12:00:00 AM,716.65,723.95,708,710.55,390178
131,815,4/30/2007 12:00:00 AM,710.55,712.65,688,708.45,491511
132,815,5/3/2007 12:00:00 AM,710.5,720.9,710.5,716.75,404757
133,815,5/4/2007 12:00:00 AM,720,727.9,714.1,719.05,367444
134,815,5/7/2007 12:00:00 AM,719,721,701.1,703.55,517647
135,815,5/8/2007 12:00:00 AM,706.05,708.9,682.2,690.55,859765
136,815,5/9/2007 12:00:00 AM,695,715.2,675.55,691.55,786726
137,815,5/10/2007 12:00:00 AM,695,702,687,689.65,193880
138,815,5/11/2007 12:00:00 AM,689,690,651.15,683.8,234171
139,815,5/14/2007 12:00:00 AM,670,670,647.25,651.1,1676096
140,815,5/15/2007 12:00:00 AM,650,660.5,644,658.25,1600213
141,815,5/16/2007 12:00:00 AM,664,669.9,652,663.6,2123490
142,815,5/17/2007 12:00:00 AM,667,681,665,678.45,1110802
143,815,5/18/2007 12:00:00 AM,684.9,684.9,653.65,666.3,2219251
144,815,5/21/2007 12:00:00 AM,675,685,653.6,659.05,1626002
145,815,5/22/2007 12:00:00 AM,670,670,653.15,662.5,800076
146,815,5/23/2007 12:00:00 AM,655,664.9,650,655.2,842917
147,815,5/24/2007 12:00:00 AM,655.2,657,648,649.55,637500
148,815,5/25/2007 12:00:00 AM,631.1,654,631.1,650.55,412329
149,815,5/28/2007 12:00:00 AM,660,661.9,653,655.45,373279
150,815,5/29/2007 12:00:00 AM,655,658.9,651,656.6,274402
151,815,5/30/2007 12:00:00 AM,658,663.95,651,653.15,473175
152,815,5/31/2007 12:00:00 AM,655,660.9,639,647.15,939235
153,815,6/1/2007 12:00:00 AM,651,655.95,646.25,648.35,300357
154,815,6/4/2007 12:00:00 AM,651,663.9,649,654.4,637633
155,815,6/5/2007 12:00:00 AM,656.25,660,649.4,655.65,553726
156,815,6/6/2007 12:00:00 AM,655.75,657.7,647.1,649.5,527978
157,815,6/7/2007 12:00:00 AM,645,650.95,621.5,645.75,474270
158,815,6/8/2007 12:00:00 AM,639.9,639.9,626.7,630.8,636995
159,815,6/11/2007 12:00:00 AM,645,649,623,625.35,423297
160,815,6/12/2007 12:00:00 AM,627,629,609,611.1,533877
161,815,6/13/2007 12:00:00 AM,615,632.9,605.1,627.7,1115898
162,815,6/14/2007 12:00:00 AM,649.5,649.5,630,639.45,263846
163,815,6/15/2007 12:00:00 AM,631,646.2,630,631.95,254302
164,815,6/18/2007 12:00:00 AM,636.9,636.9,627,631.1,458708
165,815,6/19/2007 12:00:00 AM,632.9,639,630,635.8,140216
166,815,6/20/2007 12:00:00 AM,639,643.9,637,641.6,317927
167,815,6/21/2007 12:00:00 AM,641.6,649.4,641.1,646.9,213716
168,815,6/22/2007 12:00:00 AM,649.8,654,643.35,651.4,459562
169,815,6/25/2007 12:00:00 AM,649,652.5,645,649.55,507306
170,815,6/26/2007 12:00:00 AM,649.25,652,630.85,649.5,200795
171,815,6/27/2007 12:00:00 AM,648.8,657.8,645.25,654.15,747453
172,815,6/28/2007 12:00:00 AM,657,665,650.55,656,568880
173,815,6/29/2007 12:00:00 AM,655.5,659,651.05,657.25,288387
174,815,7/2/2007 12:00:00 AM,655.1,664,654,660.75,228189
175,815,7/3/2007 12:00:00 AM,662.2,669.9,661,667.65,263522
176,815,7/4/2007 12:00:00 AM,666.55,673,655,662.95,305669
177,815,7/5/2007 12:00:00 AM,662,674.7,654.5,673.1,680034
178,815,7/6/2007 12:00:00 AM,650.05,676.95,650.05,671.95,552329
179,815,7/9/2007 12:00:00 AM,671.95,680,670,675.6,274051
180,815,7/10/2007 12:00:00 AM,679,684.05,676,680.15,379609
181,815,7/11/2007 12:00:00 AM,676.6,687.35,672.6,683.5,270642
182,815,7/12/2007 12:00:00 AM,683,683.5,675,682.25,95000
183,815,7/13/2007 12:00:00 AM,683,688,668.15,672.5,346222
184,815,7/16/2007 12:00:00 AM,678,678.65,658.1,662.45,238204
185,815,7/17/2007 12:00:00 AM,664,680,660,675.35,288535
186,815,7/18/2007 12:00:00 AM,675.35,675.35,660.6,665.35,526872
187,815,7/19/2007 12:00:00 AM,665.8,674,660.3,666,180303
188,815,7/20/2007 12:00:00 AM,669.8,672,660,668.3,319871
189,815,7/23/2007 12:00:00 AM,668,673.9,663.1,668.35,283172
190,815,7/24/2007 12:00:00 AM,661.25,693,654,672.05,604274
191,815,7/25/2007 12:00:00 AM,672.05,673.9,658,660.95,169008
192,815,7/26/2007 12:00:00 AM,665,676,658,666.1,463367
193,815,7/27/2007 12:00:00 AM,652,662.95,637,640.25,384000
194,815,7/30/2007 12:00:00 AM,649.5,649.5,625.05,636,272342
195,815,7/31/2007 12:00:00 AM,645,645,631.5,634.05,296079
196,815,8/1/2007 12:00:00 AM,635,640,621,622.75,207400
197,815,8/2/2007 12:00:00 AM,625,639.9,621.8,632.15,594329
198,815,8/3/2007 12:00:00 AM,639,640,620,623.15,621081
199,815,8/6/2007 12:00:00 AM,620,629,608.6,626.55,363628
200,815,8/7/2007 12:00:00 AM,631.9,637.9,624,635.5,384798
201,815,8/8/2007 12:00:00 AM,644,644,628.1,630.3,187348
202,815,8/9/2007 12:00:00 AM,633.05,642,631,637.85,622979
203,815,8/10/2007 12:00:00 AM,630,637.85,627.05,633.4,196679
204,815,8/13/2007 12:00:00 AM,638.9,641.9,633.7,634.55,203970
205,815,8/14/2007 12:00:00 AM,639.9,640.95,636,638.95,71681
206,815,8/16/2007 12:00:00 AM,629.9,630.1,607,627.7,238164
207,815,8/17/2007 12:00:00 AM,618,634,611.25,625.2,140046
208,815,8/20/2007 12:00:00 AM,628,638,624.05,626.35,217555
209,815,8/21/2007 12:00:00 AM,629,630,616.5,622.9,176277
210,815,8/22/2007 12:00:00 AM,627,627.7,612,622.35,255629
211,815,8/23/2007 12:00:00 AM,627.2,635.25,623,630.4,479827
212,815,8/24/2007 12:00:00 AM,635,637,626.5,629.75,258063
213,815,8/27/2007 12:00:00 AM,630,636,627.35,631.15,120269
214,815,8/28/2007 12:00:00 AM,634,640.9,631.1,634.25,262825
215,815,8/29/2007 12:00:00 AM,630,634.9,623.5,630.4,155042
216,815,8/30/2007 12:00:00 AM,631,642,631,637.5,462537
217,815,8/31/2007 12:00:00 AM,637,646,633.05,640.65,93687
218,815,9/3/2007 12:00:00 AM,641,669.6,641,667.8,425886
219,815,9/4/2007 12:00:00 AM,670,674.95,650.3,663.3,273314
220,815,9/5/2007 12:00:00 AM,664,669.95,655.05,658.75,174082
221,815,9/6/2007 12:00:00 AM,664.8,666.9,656.35,662.85,68576
222,815,9/7/2007 12:00:00 AM,671,671,663,664.2,188852
223,815,9/10/2007 12:00:00 AM,659.7,662.45,650.5,659.7,173950
224,815,9/11/2007 12:00:00 AM,661.9,669,649,651.4,324483
225,815,9/12/2007 12:00:00 AM,659.9,659.9,645.2,647.8,48876
226,815,9/13/2007 12:00:00 AM,647.3,653.9,639.7,641.9,143802
227,815,9/14/2007 12:00:00 AM,650,654.7,639.05,640.55,310627
228,815,9/17/2007 12:00:00 AM,647.9,652.9,639.9,644.2,165905
229,815,9/18/2007 12:00:00 AM,640,646.05,637.1,642.7,139955
230,815,9/19/2007 12:00:00 AM,650,653.9,640.05,645.25,367310
231,815,9/20/2007 12:00:00 AM,650,652.9,637,638.4,425859
232,815,9/21/2007 12:00:00 AM,639.8,644.95,635,639.75,214453
233,815,9/24/2007 12:00:00 AM,645,645,633.05,637.35,186928
234,815,9/25/2007 12:00:00 AM,643,643,634,636.9,240607
235,815,9/26/2007 12:00:00 AM,639.9,641.8,637,639.35,194182
236,815,9/27/2007 12:00:00 AM,648,650.5,638,648.1,599820
237,815,10/1/2007 12:00:00 AM,600,665.5,600,659.6,519376
238,815,10/3/2007 12:00:00 AM,662,665.35,640.05,657.15,425703
239,815,10/4/2007 12:00:00 AM,650,662.4,645.05,656,506986
240,815,10/5/2007 12:00:00 AM,658,660,648,653.6,484564
